$results_tau
   type  tau        mean           sd
61 Bonf   40 0.008333333 0.000000e+00
62 Bonf   50 0.008333333 0.000000e+00
63 Bonf   60 0.008333333 0.000000e+00
64 Bonf   70 0.008333333 0.000000e+00
65 Bonf   80 0.008333333 0.000000e+00
66 Bonf   90 0.008333333 0.000000e+00
67 Bonf  100 0.008333333 0.000000e+00
68 Bonf  200 0.008333333 0.000000e+00
69 Bonf  300 0.008333333 0.000000e+00
70 Bonf  400 0.008333333 0.000000e+00
71 Bonf  500 0.008333333 0.000000e+00
72 Bonf  600 0.008333333 0.000000e+00
73 Bonf  700 0.008333333 0.000000e+00
74 Bonf  800 0.008333333 0.000000e+00
75 Bonf  900 0.008333333 0.000000e+00
76 Bonf 1000 0.008333333 0.000000e+00

$results_m
    type    m         mean           sd
1    GNZ    2 3.194760e-02 4.098390e-03
2    GNZ    3 2.396347e-02 5.733252e-03
3    GNZ    4 1.993530e-02 6.299156e-03
4    GNZ    5 1.687813e-02 6.654698e-03
5    GNZ    6 1.444216e-02 6.548232e-03
6    GNZ    7 1.284315e-02 6.612425e-03
7    GNZ    8 1.142020e-02 6.289903e-03
8    GNZ    9 1.020202e-02 6.164795e-03
9    GNZ   10 9.190742e-03 5.981976e-03
10   GNZ   20 4.791892e-03 4.354960e-03
11   GNZ   30 2.994711e-03 3.182597e-03
12   GNZ   40 2.618155e-03 3.170176e-03
13   GNZ   50 1.961768e-03 2.546423e-03
14   GNZ   60 1.675483e-03 2.353904e-03
15   GNZ   70 1.361967e-03 1.832016e-03
16   GNZ   80 1.256309e-03 1.977762e-03
17   GNZ   90 1.120642e-03 1.657280e-03
18   GNZ  100 1.128491e-03 2.034481e-03
19   GNZ  200 5.674286e-04 1.330539e-03
20   GNZ  300 4.405357e-04 1.061010e-03
21   GNZ  400 3.388378e-04 9.240611e-04
22   GNZ  500 2.459249e-04 7.168451e-04
23   GNZ  600 2.184313e-04 7.106798e-04
24   GNZ  700 2.148162e-04 7.282749e-04
25   GNZ  800 1.837063e-04 6.156305e-04
26   GNZ  900 2.017923e-04 9.121971e-04
27   GNZ 1000 1.452749e-04 5.013217e-04
28    MC    2 3.194760e-02 4.098390e-03
29    MC    3 2.369596e-02 4.526572e-03
30    MC    4 1.937448e-02 4.109050e-03
31    MC    5 1.602284e-02 3.868139e-03
32    MC    6 1.334081e-02 3.302112e-03
33    MC    7 1.150905e-02 2.952733e-03
34    MC    8 1.003520e-02 2.480886e-03
35    MC    9 8.855488e-03 2.218915e-03
36    MC   10 7.932011e-03 1.902172e-03
37    MC   20 3.917886e-03 8.805313e-04
38    MC   30 2.590787e-03 5.859512e-04
39    MC   40 1.974804e-03 4.509874e-04
40    MC   50 1.579817e-03 3.558198e-04
41    MC   60 1.310822e-03 2.979661e-04
42    MC   70 1.127401e-03 2.562385e-04
43    MC   80 9.905627e-04 2.204855e-04
44    MC   90 8.790982e-04 2.009487e-04
45    MC  100 7.937406e-04 1.811158e-04
46    MC  200 3.916672e-04 8.479967e-05
47    MC  300 2.649478e-04 6.023530e-05
48    MC  400 1.948983e-04 4.434137e-05
49    MC  500 1.563686e-04 3.600418e-05
50    MC  600 1.319659e-04 2.953145e-05
51    MC  700 1.124918e-04 2.542951e-05
52    MC  800 9.831650e-05 2.261951e-05
53    MC  900 8.876483e-05 1.979720e-05
54    MC 1000 7.968049e-05 1.791573e-05
55   phi    2 3.620184e-02 0.000000e+00
56   phi    3 2.969384e-02 0.000000e+00
57   phi    4 2.615906e-02 0.000000e+00
58   phi    5 2.338243e-02 0.000000e+00
59   phi    6 2.161602e-02 0.000000e+00
60   phi    7 1.997572e-02 0.000000e+00
61   phi    8 1.887498e-02 0.000000e+00
62   phi    9 1.775652e-02 0.000000e+00
63   phi   10 1.698849e-02 0.000000e+00
64   phi   20 1.224195e-02 0.000000e+00
65   phi   30 1.010337e-02 0.000000e+00
66   phi   40 8.815633e-03 0.000000e+00
67   phi   50 7.930480e-03 0.000000e+00
68   phi   60 7.273404e-03 0.000000e+00
69   phi   70 6.760368e-03 0.000000e+00
70   phi   80 6.345207e-03 0.000000e+00
71   phi   90 6.000159e-03 0.000000e+00
72   phi  100 5.707387e-03 0.000000e+00
73   phi  200 4.106188e-03 0.000000e+00
74   phi  300 3.386434e-03 0.000000e+00
75   phi  400 2.953536e-03 0.000000e+00
76   phi  500 2.656191e-03 0.000000e+00
77   phi  600 2.435578e-03 0.000000e+00
78   phi  700 2.263393e-03 0.000000e+00
79   phi  800 2.124101e-03 0.000000e+00
80   phi  900 2.008362e-03 0.000000e+00
81   phi 1000 1.910179e-03 0.000000e+00
82  Bonf    2 2.500000e-02 0.000000e+00
83  Bonf    3 1.666667e-02 0.000000e+00
84  Bonf    4 1.250000e-02 0.000000e+00
85  Bonf    5 1.000000e-02 0.000000e+00
86  Bonf    6 8.333333e-03 0.000000e+00
87  Bonf    7 7.142857e-03 0.000000e+00
88  Bonf    8 6.250000e-03 0.000000e+00
89  Bonf    9 5.555556e-03 0.000000e+00
90  Bonf   10 5.000000e-03 0.000000e+00
91  Bonf   20 2.500000e-03 0.000000e+00
92  Bonf   30 1.666667e-03 0.000000e+00
93  Bonf   40 1.250000e-03 0.000000e+00
94  Bonf   50 1.000000e-03 0.000000e+00
95  Bonf   60 8.333333e-04 0.000000e+00
96  Bonf   70 7.142857e-04 0.000000e+00
97  Bonf   80 6.250000e-04 0.000000e+00
98  Bonf   90 5.555556e-04 0.000000e+00
99  Bonf  100 5.000000e-04 0.000000e+00
100 Bonf  200 2.500000e-04 0.000000e+00
101 Bonf  300 1.666667e-04 0.000000e+00
102 Bonf  400 1.250000e-04 0.000000e+00
103 Bonf  500 1.000000e-04 0.000000e+00
104 Bonf  600 8.333333e-05 0.000000e+00
105 Bonf  700 7.142857e-05 0.000000e+00
106 Bonf  800 6.250000e-05 0.000000e+00
107 Bonf  900 5.555556e-05 0.000000e+00
108 Bonf 1000 5.000000e-05 0.000000e+00

$results_pi0
   type       pi0        mean          sd
1   GNZ 0.1666667 0.014800506 0.006598144
2   GNZ 0.3333333 0.014079665 0.006383930
3   GNZ 0.5000000 0.014384465 0.006491438
4   GNZ 0.6666667 0.014608181 0.006585334
5   GNZ 0.8333333 0.014442165 0.006548232
6    MC 0.1666667 0.013525777 0.003328922
7    MC 0.3333333 0.013096672 0.003248746
8    MC 0.5000000 0.013364102 0.003363942
9    MC 0.6666667 0.013435740 0.003331878
10   MC 0.8333333 0.013340814 0.003302112
11  phi 0.1666667 0.022184590 0.000000000
12  phi 0.3333333 0.021902922 0.000000000
13  phi 0.5000000 0.021616018 0.000000000
14  phi 0.6666667 0.021323757 0.000000000
15  phi 0.8333333 0.021026017 0.000000000
16 Bonf 0.1666667 0.008333333 0.000000000
17 Bonf 0.3333333 0.008333333 0.000000000
18 Bonf 0.5000000 0.008333333 0.000000000
19 Bonf 0.6666667 0.008333333 0.000000000
20 Bonf 0.8333333 0.008333333 0.000000000

$results_effect
   type effect        mean          sd
1   GNZ    0.1 0.014800506 0.006598144
2   GNZ    0.2 0.014079665 0.006383930
3   GNZ    0.3 0.014384465 0.006491438
4   GNZ    0.4 0.014608181 0.006585334
5    MC    0.1 0.013525777 0.003328922
6    MC    0.2 0.013096672 0.003248746
7    MC    0.3 0.013364102 0.003363942
8    MC    0.4 0.013435740 0.003331878
9   phi    0.1 0.021175580 0.000000000
10  phi    0.2 0.021616018 0.000000000
11  phi    0.3 0.022044403 0.000000000
12  phi    0.4 0.022461142 0.000000000
13 Bonf    0.1 0.008333333 0.000000000
14 Bonf    0.2 0.008333333 0.000000000
15 Bonf    0.3 0.008333333 0.000000000
16 Bonf    0.4 0.008333333 0.000000000

