$results_rho
   type  rho  FWER     power
43 Bonf   50 0.026 0.10566667
44 Bonf   60 0.016 0.13066667
45 Bonf   70 0.030 0.17833333
46 Bonf   80 0.033 0.20500000
47 Bonf   90 0.027 0.24700000
48 Bonf  100 0.024 0.25800000
49 Bonf  200 0.030 0.56966667
50 Bonf  300 0.029 0.79933333
51 Bonf  400 0.029 0.91233333
52 Bonf  500 0.015 0.96866667
53 Bonf  600 0.018 0.98866667
54 Bonf  700 0.026 0.99766667
55 Bonf  800 0.018 0.99900000
56 Bonf  900 0.020 0.99833333
57 Bonf 1000 0.027 0.99966667

$results_m
   type    m        FWER       power
1   GNZ    2 0.023000000 0.422000000
2   GNZ    3 0.026000000 0.324000000
3   GNZ    4 0.027000000 0.317000000
4   GNZ    5 0.019000000 0.292000000
5   GNZ    6 0.025000000 0.247666667
6   GNZ    7 0.023000000 0.236666667
7   GNZ    8 0.020000000 0.218250000
8   GNZ    9 0.014000000 0.219000000
9   GNZ   10 0.019000000 0.238200000
10  GNZ   20 0.022155086 0.152870091
11  GNZ   30 0.021834061 0.119359534
12  GNZ   40 0.021992238 0.107373868
13  GNZ   50 0.010606061 0.095696970
14  GNZ   60 0.008944544 0.090459153
15  GNZ   70 0.019693654 0.099531103
16  GNZ   80 0.020408163 0.074043367
17  GNZ   90 0.011764706 0.068235294
18  GNZ  100 0.024647887 0.069295775
19  GNZ  200 0.017857143 0.048035714
20  GNZ  300 0.019607843 0.038692810
21  GNZ  400 0.000000000 0.039642857
22  GNZ  500 0.000000000 0.034956522
23  GNZ  600 0.066666667 0.048444444
24  GNZ  700 0.000000000 0.003095238
25  GNZ  800 0.142857143 0.039642857
26  GNZ  900 0.000000000 0.015185185
27  GNZ 1000 0.000000000 0.003500000
28   MC    2 0.023000000 0.422000000
29   MC    3 0.026000000 0.330000000
30   MC    4 0.027000000 0.323500000
31   MC    5 0.021000000 0.299666667
32   MC    6 0.025000000 0.257000000
33   MC    7 0.024000000 0.240666667
34   MC    8 0.021000000 0.224750000
35   MC    9 0.014000000 0.223600000
36   MC   10 0.021000000 0.244400000
37   MC   20 0.023000000 0.155400000
38   MC   30 0.021000000 0.121866667
39   MC   40 0.018000000 0.108000000
40   MC   50 0.012000000 0.098600000
41   MC   60 0.014000000 0.093233333
42   MC   70 0.021000000 0.088285714
43   MC   80 0.017000000 0.082675000
44   MC   90 0.020000000 0.070600000
45   MC  100 0.015000000 0.070020000
46   MC  200 0.015000000 0.048220000
47   MC  300 0.012000000 0.038400000
48   MC  400 0.012000000 0.031705000
49   MC  500 0.017000000 0.031252000
50   MC  600 0.008000000 0.023950000
51   MC  700 0.020000000 0.029865714
52   MC  800 0.016000000 0.024555000
53   MC  900 0.010000000 0.022744444
54   MC 1000 0.024000000 0.020922000
55 Bonf    2 0.021000000 0.413000000
56 Bonf    3 0.026000000 0.320000000
57 Bonf    4 0.026000000 0.315500000
58 Bonf    5 0.019000000 0.292000000
59 Bonf    6 0.025000000 0.247333333
60 Bonf    7 0.023000000 0.236666667
61 Bonf    8 0.020000000 0.218250000
