$results_tau
   type  tau    FWER     power
6   GNZ   60 0.015 0.16233333
7   GNZ   70 0.013 0.20733333
8   GNZ   80 0.013 0.25566667
9   GNZ   90 0.013 0.28433333
10  GNZ  100 0.013 0.31933333
11  GNZ  200 0.017 0.62100000
12  GNZ  300 0.010 0.83800000
13  GNZ  400 0.018 0.93366667
14  GNZ  500 0.012 0.96600000
15  GNZ  600 0.009 0.99366667
16  GNZ  700 0.013 0.99733333
17  GNZ  800 0.013 0.99933333
18  GNZ  900 0.011 0.99966667
19  GNZ 1000 0.014 1.00000000
20   MC   10 0.013 0.03266667
21   MC   20 0.015 0.06266667
22   MC   30 0.012 0.07333333
23   MC   40 0.011 0.10900000
24   MC   50 0.007 0.13433333
25   MC   60 0.015 0.15933333
26   MC   70 0.013 0.20766667
27   MC   80 0.012 0.25100000
28   MC   90 0.013 0.27700000
29   MC  100 0.008 0.31900000
30   MC  200 0.017 0.62233333
31   MC  300 0.011 0.83566667
32   MC  400 0.020 0.93300000
33   MC  500 0.009 0.96366667
34   MC  600 0.008 0.99466667
35   MC  700 0.012 0.99733333
36   MC  800 0.012 0.99866667
37   MC  900 0.010 0.99966667
38   MC 1000 0.010 1.00000000
39  phi   10 0.017 0.05000000
40  phi   20 0.024 0.08966667
41  phi   30 0.018 0.10100000
42  phi   40 0.017 0.15800000
43  phi   50 0.012 0.18333333
44  phi   60 0.019 0.20433333
45  phi   70 0.022 0.25900000
46  phi   80 0.018 0.30833333
47  phi   90 0.022 0.34633333
48  phi  100 0.019 0.38866667
49  phi  200 0.020 0.69433333
50  phi  300 0.020 0.88366667
51  phi  400 0.027 0.95466667
52  phi  500 0.016 0.97666667
53  phi  600 0.018 0.99733333
54  phi  700 0.018 0.99900000
55  phi  800 0.013 0.99933333
56  phi  900 0.013 1.00000000
57  phi 1000 0.021 1.00000000
58 Bonf   10 0.007 0.02133333
59 Bonf   20 0.009 0.04300000
60 Bonf   30 0.008 0.05566667
61 Bonf   40 0.010 0.08300000
62 Bonf   50 0.003 0.08966667
63 Bonf   60 0.009 0.12500000
64 Bonf   70 0.006 0.16833333
65 Bonf   80 0.007 0.20400000
66 Bonf   90 0.009 0.22700000
67 Bonf  100 0.008 0.26733333
68 Bonf  200 0.012 0.56700000
69 Bonf  300 0.006 0.79666667
70 Bonf  400 0.011 0.91766667
71 Bonf  500 0.008 0.95700000
72 Bonf  600 0.007 0.99266667
73 Bonf  700 0.007 0.99600000
74 Bonf  800 0.007 0.99833333
75 Bonf  900 0.008 0.99966667
76 Bonf 1000 0.005 1.00000000

$results_m
    type    m  FWER      power
1    GNZ    2 0.014 0.45900000
2    GNZ    3 0.022 0.42100000
3    GNZ    4 0.018 0.36550000
4    GNZ    5 0.013 0.34700000
5    GNZ    6 0.005 0.32333333
6    GNZ    7 0.016 0.28300000
7    GNZ    8 0.010 0.27375000
8    GNZ    9 0.010 0.27550000
9    GNZ   10 0.009 0.25900000
10   GNZ   20 0.008 0.18970000
11   GNZ   30 0.009 0.15013333
12   GNZ   40 0.005 0.14825000
13   GNZ   50 0.006 0.13132000
14   GNZ   60 0.004 0.11380000
15   GNZ   70 0.002 0.10700000
16   GNZ   80 0.004 0.10250000
17   GNZ   90 0.001 0.08551111
18   GNZ  100 0.005 0.07884000
19   GNZ  200 0.001 0.06195000
20   GNZ  300 0.005 0.05070000
21   GNZ  400 0.001 0.03863500
22   GNZ  500 0.002 0.03299200
23   GNZ  600 0.003 0.03046333
24   GNZ  700 0.003 0.02992286
25   GNZ  800 0.002 0.02561250
26   GNZ  900 0.001 0.02754444
27   GNZ 1000 0.003 0.02829200
28    MC    2 0.014 0.45900000
29    MC    3 0.023 0.42300000
30    MC    4 0.016 0.36350000
31    MC    5 0.012 0.34700000
32    MC    6 0.007 0.32066667
33    MC    7 0.014 0.28200000
34    MC    8 0.008 0.26600000
35    MC    9 0.009 0.27275000
36    MC   10 0.010 0.25020000
37    MC   20 0.006 0.18970000
38    MC   30 0.009 0.15173333
39    MC   40 0.005 0.14555000
40    MC   50 0.002 0.13192000
41    MC   60 0.002 0.11833333
42    MC   70 0.002 0.11002857
43    MC   80 0.001 0.10345000
44    MC   90 0.000 0.08813333
45    MC  100 0.003 0.07580000
46    MC  200 0.000 0.06463000
47    MC  300 0.004 0.04850000
48    MC  400 0.000 0.03460500
49    MC  500 0.002 0.03242000
50    MC  600 0.002 0.03305000
51    MC  700 0.001 0.03044571
52    MC  800 0.000 0.02732500
53    MC  900 0.000 0.02635556
54    MC 1000 0.002 0.02949800
55   phi    2 0.016 0.47700000
56   phi    3 0.028 0.45700000
57   phi    4 0.017 0.41800000
58   phi    5 0.018 0.40350000
59   phi    6 0.012 0.39033333
60   phi    7 0.021 0.35733333
61   phi    8 0.020 0.34475000
62   phi    9 0.018 0.36350000
63   phi   10 0.019 0.34180000
64   phi   20 0.017 0.30440000
65   phi   30 0.019 0.28420000
66   phi   40 0.020 0.28295000
67   phi   50 0.020 0.27192000
68   phi   60 0.018 0.25286667
69   phi   70 0.020 0.24794286
70   phi   80 0.023 0.23047500
71   phi   90 0.021 0.21917778
72   phi  100 0.018 0.20962000
73   phi  200 0.022 0.19553000
74   phi  300 0.016 0.16997333
75   phi  400 0.016 0.15550500
76   phi  500 0.013 0.14472400
77   phi  600 0.013 0.14993000
78   phi  700 0.019 0.14533714
79   phi  800 0.019 0.13340250
80   phi  900 0.013 0.13900444
81   phi 1000 0.022 0.13679600
82  Bonf    2 0.013 0.41500000
83  Bonf    3 0.014 0.36300000
84  Bonf    4 0.010 0.30500000
85  Bonf    5 0.010 0.29100000
86  Bonf    6 0.003 0.26033333
87  Bonf    7 0.009 0.22533333
88  Bonf    8 0.005 0.21975000
89  Bonf    9 0.004 0.22400000
90  Bonf   10 0.004 0.20760000
91  Bonf   20 0.005 0.15600000
92  Bonf   30 0.006 0.12386667
93  Bonf   40 0.004 0.11915000
94  Bonf   50 0.001 0.10756000
95  Bonf   60 0.001 0.09556667
96  Bonf   70 0.001 0.08654286
97  Bonf   80 0.001 0.08270000
98  Bonf   90 0.000 0.07097778
99  Bonf  100 0.003 0.06058000
100 Bonf  200 0.000 0.05188000
101 Bonf  300 0.004 0.03941333
102 Bonf  400 0.000 0.02623000
103 Bonf  500 0.001 0.02473600
104 Bonf  600 0.002 0.02595333
105 Bonf  700 0.001 0.02491143
106 Bonf  800 0.000 0.02120000
107 Bonf  900 0.000 0.01952667
108 Bonf 1000 0.000 0.02331200

$results_pi0
   type       pi0  FWER     power
1   GNZ 0.1666667 0.005 0.3214000
2   GNZ 0.3333333 0.011 0.3325000
3   GNZ 0.5000000 0.013 0.3110000
4   GNZ 0.6666667 0.012 0.3245000
